"StationID" "day_of_week" "time_of_day" "meanHeadway" "SDHeadway" "Flow_rate"
"242" 70004 3 14 596.758620689655 215.621469771915 0.00121396833197832
"243" 70004 3 15 672.814814814815 151.349833431597 0.000867121918145957
"244" 70004 3 16 658.333333333333 150.80272390929 0.000478549245628878
"245" 70004 3 17 692.75 176.333490863194 0.00147898943014706
"246" 70004 3 18 680.178571428571 217.598858516108 0.000823605746503641
"247" 70004 3 19 685.777777777778 196.207961363865 0.00107157607396426
"248" 70004 3 20 615.692307692308 173.420822101792 0.00151908943247117
"249" 70004 3 21 719.666666666667 134.626590392016 0.00202886791639131
"250" 70004 3 22 636.272727272727 148.378917068103 0.00203891674195437
"251" 70004 3 23 625.375 171.127711222897 0.00202944329445506
"252" 70004 3 24 657.08 176.631424157764 0.00247359880167826
"253" 70004 3 25 567.833333333333 176.44791814043 0.00158571208782024
"254" 70004 3 26 556.09375 146.511776335006 0.00167468431499839
"255" 70004 3 27 611.6 131.649787947671 0.00142483998817909
"256" 70004 3 28 564.451612903226 167.004358967 0.00222384968832259
"257" 70004 3 29 591.214285714286 147.799252527268 0.00209275542269378
"258" 70004 3 30 628.1 171.540555172722 0.00156198084566886
"259" 70004 3 31 565.636363636364 203.934397874325 0.00192757972510133
"260" 70004 3 32 564.896551724138 161.764013486045 0.00184796760798522
"261" 70004 3 33 592.928571428571 213.654260095938 0.00215018838369486
"262" 70004 3 34 579.65625 193.14220223001 0.00242061828960097
"263" 70004 3 35 574.555555555556 164.523632469702 0.00173278822609666
"264" 70004 3 36 591.451612903226 176.256411459683 0.0019973348448358
"265" 70004 3 37 685.52380952381 269.949369150517 0.00309406922911283
"266" 70004 3 38 590.275862068965 211.799247360008 0.00114995813852219
"267" 70004 3 39 626.608695652174 190.119278141246 0.00172482253850385
"268" 70004 3 40 694.95652173913 234.293420980241 0.00142753511459479
"269" 70004 3 41 700.565217391304 202.322610538659 0.00195383809210526
"270" 70004 3 42 629.148148148148 170.747835599235 0.000978183442982456
"271" 70004 3 43 665.333333333333 180.724548190999 0.00122180335648148
"272" 70004 3 44 677.833333333333 174.361859278383 0.000496886816437164
"273" 70004 3 45 715.791666666667 244.866064395934 0.00050184472108409
"274" 70004 3 46 630.863636363636 111.843128002508 0.000649120949074074
"275" 70004 3 47 720 265.317693079202 0.00065692080026455
"276" 70004 3 48 682.65 200.290125094889 0.000515440166170635
"277" 70005 1 1 1026.29411764706 294.684374493135 0.00211369474631977
"278" 70005 1 2 520.5 304.763022691402 0.00152668459223621
"279" 70005 1 3 500 97.5807358037436 0.000625054393999735
"280" 70005 1 4 677 485.075251893972 0.000339602318548387
"281" 70005 1 5 NA NA 0.000274318402777778
"282" 70005 1 6 NA NA NA
"283" 70005 1 7 NA NA NA
"284" 70005 1 10 NA NA NA
"285" 70005 1 11 881 380.944877902302 0.00520879829627565
"286" 70005 1 12 592.891891891892 35.4344338052564 0.0179991994301281
"287" 70005 1 13 524.123076923077 104.854587955819 0.0350337589902318
"288" 70005 1 14 394.333333333333 135.277969500795 0.0543072806869366
"289" 70005 1 15 384.959459459459 103.03616058814 0.0819817861569952
"290" 70005 1 16 410.933333333333 124.267185263582 0.12227214175171
"291" 70005 1 17 380.871794871795 131.835824602741 0.157370862385258
"292" 70005 1 18 369.72972972973 105.597231348265 0.153741234038264
"293" 70005 1 19 388.014705882353 134.716450994557 0.101822284170503
"294" 70005 1 20 391.813333333333 123.480241699189 0.0699271495711177
"295" 70005 1 21 419.597402597403 126.892438883474 0.0447786145033262
"296" 70005 1 22 498.36 83.8102229408069 0.0363365508956094
"297" 70005 1 23 478 88.6309585218993 0.0361907563297059
"298" 70005 1 24 517.767123287671 77.5339568167725 0.0375013164292113
"299" 70005 1 25 522.122807017544 101.660160439335 0.0267674018483351
"300" 70005 1 26 516.593220338983 94.0522816170966 0.0309905618154947
"301" 70005 1 27 533.883333333333 93.4544376736811 0.0329710573861657
"302" 70005 1 28 507.138461538462 111.109444485364 0.032332386962943
"303" 70005 1 29 489.166666666667 92.5328600480891 0.029503099736424
"304" 70005 1 30 473.075757575758 145.196451599581 0.0287316240543978
"305" 70005 1 31 392.31884057971 130.626825093202 0.0288966222012027
"306" 70005 1 32 386.158536585366 126.322873554306 0.0328935026508411
"307" 70005 1 33 381.557142857143 119.414590873383 0.0321786818276766
"308" 70005 1 34 401.053333333333 118.499389134397 0.0361596874993145
"309" 70005 1 35 370 76.8321821278448 0.0397330730215587
"310" 70005 1 36 390.543209876543 104.894953332217 0.0337432679970972
"311" 70005 1 37 368.6 109.965755650249 0.0271351673869485
"312" 70005 1 38 371.858585858586 88.6044880814955 0.0233191897200603
"313" 70005 1 39 536.757575757576 148.413876668857 0.0189545507790341
"314" 70005 1 40 561.698412698413 146.110501148367 0.0163277605795848
"315" 70005 1 41 605.631578947368 100.340248223402 0.0112497966949063
"316" 70005 1 42 599.688524590164 87.8985288052094 0.0103609323199051
"317" 70005 1 43 593.030769230769 104.348569891789 0.00823424425474139
"318" 70005 1 44 610.055555555556 103.19507386712 0.0074377797415258
"319" 70005 1 45 597.583333333333 115.798084300577 0.00633109059117292
"320" 70005 1 46 600.578947368421 66.1634737839383 0.00531627701417256
"321" 70005 1 47 627.931034482759 138.802126237439 0.003499395129126
"322" 70005 1 48 744.526315789474 179.705425152673 0.00270122544616761
"323" 70005 3 1 1051.75 160.743625559133 0.00101918055555556
"324" 70005 3 2 1041 172.794675843904 0.00059278869047619
"325" 70005 3 3 1213.375 37.8151046918707 NA
"326" 70005 3 4 945.777777777778 76.2361098459545 NA
"327" 70005 3 5 NA NA NA
"328" 70005 3 6 NA NA NA
"329" 70005 3 7 NA NA NA
"330" 70005 3 10 NA NA NA
"331" 70005 3 11 1000.5 348.603643124968 NA
"332" 70005 3 12 614.090909090909 41.1326015356543 NA
"333" 70005 3 13 692.117647058824 254.85139845431 0.008606543
"334" 70005 3 14 703.413793103448 199.591102943954 0.00469666809214092
"335" 70005 3 15 682.041666666667 114.10120571198 0.00698822539928802
"336" 70005 3 16 667.608695652174 96.2665518851574 0.0162080197575773
"337" 70005 3 17 691.333333333333 101.016754132097 0.0131439913940936
"338" 70005 3 18 634.95652173913 97.7382767956758 0.0173507302793756
"339" 70005 3 19 668.068965517241 107.05270098497 0.0270453412547569
"340" 70005 3 20 627.333333333333 52.2018518190048 0.0212733411498992
"341" 70005 3 21 635.24 50.663333223677 0.0286603652073453
"342" 70005 3 22 648.923076923077 113.747060824242 0.0329166682192063
"343" 70005 3 23 622.608695652174 94.5759623171837 0.0315026856043475
"344" 70005 3 24 651.296296296296 106.970813709885 0.034302216424617
"345" 70005 3 25 620.961538461538 110.163689396908 0.0377018453314168
"346" 70005 3 26 595.714285714286 178.085467858649 0.037238733155443
"347" 70005 3 27 547.909090909091 125.806695669685 0.0280567397978666
"348" 70005 3 28 609.275862068965 83.9157300730595 0.0275025232535307
"349" 70005 3 29 562.214285714286 88.7561608264806 0.0291765916906601
"350" 70005 3 30 610.12 108.786610695741 0.0288866285091113
"351" 70005 3 31 578.142857142857 101.661342561608 0.0247688416231061
"352" 70005 3 32 586.964285714286 98.2485442896049 0.0270311401889542
"353" 70005 3 33 573.655172413793 153.872460141988 0.0200218853837106
"354" 70005 3 34 587.2 152.651857092157 0.0180722702442725
"355" 70005 3 35 586.678571428571 101.171308175211 0.0157932140561902
"356" 70005 3 36 590.916666666667 88.5098455180167 0.0167824357379474
"357" 70005 3 37 665.65 217.185653059167 0.0143157191073367
"358" 70005 3 38 591.08 92.2225207491822 0.0109551762037037
"359" 70005 3 39 679.25 264.977233381523 0.0127312739379707
"360" 70005 3 40 676.391304347826 80.31740393896 0.00807865463699896
"361" 70005 3 41 657 62.3881856947749 0.00883586117933723
"362" 70005 3 42 639.521739130435 69.9082967928293 0.00724703787768031
"363" 70005 3 43 682.666666666667 67.2333164478721 0.00668156437757202
"364" 70005 3 44 662.653846153846 100.429454766096 0.00454602437974834
"365" 70005 3 45 661.176470588235 130.648495635291 0.00466946417819485
"366" 70005 3 46 686 114.755116844981 0.00528867435771559
"367" 70005 3 47 689.869565217391 105.269051114417 0.00339174362392526
"368" 70005 3 48 751.055555555556 89.1630840401764 0.00172539208209325
"369" 70006 1 1 755.156862745098 263.161347659493 0.000926794966356108
"370" 70006 1 2 920.615384615385 311.839311842263 0.000619091278346407
"371" 70006 1 3 589.5 169.419597449646 0.000404229590505999
"372" 70006 1 4 408 117.379725676967 0.000177602522833762
"373" 70006 1 5 NA NA 7.23849826388889e-05
"374" 70006 1 6 NA NA NA
"375" 70006 1 7 NA NA NA
"376" 70006 1 10 NA NA NA
"377" 70006 1 11 NA NA NA
"378" 70006 1 12 737.75 150.729759922571 0.00344943949748788
