"StationID","day_of_week","time_of_day","meanHeadway","SDHeadway","Flow_rate"
70234,3,35,607.566666666667,207.341910418738,0.00273829652777778
70234,3,36,527.875,211.047731950121,0.00152849546296296
70234,3,37,519.382352941176,240.81780044772,0.00241341388888889
70234,3,38,570.5625,340.364125464517,0.00120670694444444
70234,3,39,550.964285714286,280.811058416688,0.00139235416666667
70234,3,40,546.033333333333,206.142649527028,0.00119344642857143
70234,3,41,575.68,196.081131167688,0.00233184162457912
70234,3,42,567.964285714286,232.196832552942,0.000624449747474747
70234,3,43,675.130434782609,208.563769264468,0.000371294444444444
70234,3,44,657.730769230769,185.35664168134,NA
70234,3,45,711.272727272727,314.610444203195,0.000974647916666667
70234,3,46,647.16,181.016269986982,0.000216588425925926
70234,3,47,623.333333333333,187.884361598653,0.000123764814814815
70234,3,48,732.2,321.016576059965,0.00041770625
70235,1,1,632.642857142857,329.51307916072,5.06310606060606e-05
70235,1,2,638.451612903226,411.831020258688,0.000101262121212121
70235,1,3,1313,NA,3.37540404040404e-05
70235,1,4,413.833333333333,332.126130659222,NA
70235,1,5,356.8,309.968062871,NA
70235,1,6,342.5,78.4888527117068,NA
70235,1,7,NA,NA,NA
70235,1,10,NA,NA,NA
70235,1,11,NA,NA,NA
70235,1,12,NA,NA,NA
70235,1,13,686.809523809524,447.535877784968,NA
70235,1,14,1001.9,388.234858382343,1.64082140852974e-05
70235,1,15,807.742857142857,390.992202634539,3.26473505547276e-05
70235,1,16,644.185185185185,398.616952089799,1.43551666086149e-05
70235,1,17,620.438596491228,397.48045852882,4.70986610288936e-05
70235,1,18,579.508771929825,375.661897893334,0.000157317938311688
70235,1,19,542.430769230769,399.320280650084,1.84592408459596e-05
70235,1,20,590.517857142857,425.459451804599,7.81672514619883e-05
70235,1,21,468.146341463415,384.747347657732,0.000176167676767677
70235,1,22,527.938461538462,367.970781657792,0.000122212904911181
70235,1,23,546.446428571429,393.974384014672,1.92596583481878e-05
70235,1,24,507.260273972603,375.587133972237,3.59317204301075e-05
70235,1,25,529.030769230769,350.198692228371,3.50522727272727e-05
70235,1,26,678.877192982456,423.258789047866,8.2850826446281e-05
70235,1,27,555.375,361.212884221027,NA
70235,1,28,564.709677419355,427.378988225841,0.000156618747474747
70235,1,29,508.526315789474,438.954651376326,8.73633986928105e-05
70235,1,30,655.296296296296,346.9601483086,0.000103512390572391
70235,1,31,560.275862068965,415.558799145788,3.37540404040404e-05
70235,1,32,606.311475409836,412.330148504957,4.08601541733121e-05
70235,1,33,460.65,288.936158688158,5.06310606060606e-05
70235,1,34,613.44776119403,412.898302967446,0.000131183009360484
70235,1,35,483.818181818182,290.614400305752,9.68594202898551e-05
70235,1,36,546.507692307692,401.301091882584,0.000131734903381643
70235,1,37,505.486111111111,375.637223592183,6.75080808080808e-05
70235,1,38,418.022727272727,291.015936573245,0.000114946191646192
70235,1,39,447.058139534884,328.551342738576,0.000149691831357049
70235,1,40,425.469387755102,316.790646146977,1.68770202020202e-05
70235,1,41,404.447058823529,288.996107482533,0.000224535073871686
70235,1,42,434.181818181818,337.140053367166,0.000139838167388167
70235,1,43,524.121951219512,404.757460991449,0.000245483930211203
70235,1,44,473.144927536232,407.753359540469,0.000116451439393939
70235,1,45,652.032786885246,446.042709734285,3.93797138047138e-05
70235,1,46,552.936507936508,392.193372030977,3.75044893378227e-05
70235,1,47,524.109589041096,357.083267664087,NA
70235,1,48,637.952380952381,430.437490443994,NA
70235,3,1,607.75,348.243699028487,NA
70235,3,2,768.842105263158,394.906917746715,9.28236111111111e-05
70235,3,3,994.611111111111,441.952770818316,NA
70235,3,4,1071.71428571429,287.957007373042,NA
70235,3,5,NA,NA,NA
70235,3,6,NA,NA,NA
70235,3,7,NA,NA,NA
70235,3,10,NA,NA,NA
70235,3,11,NA,NA,NA
70235,3,12,733,NA,NA
70235,3,13,1452.5,115.258405333407,NA
70235,3,14,1022.78571428571,458.668336444912,NA
70235,3,15,683.125,447.887826843712,NA
70235,3,16,959.875,414.115744689815,NA
70235,3,17,693.65,387.095836766692,NA
70235,3,18,977.181818181818,404.672662328905,NA
70235,3,19,610.045454545455,386.424079560357,0.000244716792929293
70235,3,20,840.75,465.590449501133,NA
70235,3,21,605.166666666667,306.394980471239,NA
70235,3,22,794.227272727273,398.255951657101,NA
70235,3,23,539.545454545455,412.583120314963,NA
70235,3,24,600.458333333333,366.54034467622,NA
70235,3,25,720.08,388.03617958467,0.000144392283950617
70235,3,26,536.5625,369.732155668781,0.000278470833333333
70235,3,27,659.758620689655,292.157205135036,NA
70235,3,28,680,366.735981327167,0.000232059027777778
70235,3,29,578.741935483871,362.605843650461,0.000157800138888889
70235,3,30,583.612903225806,372.897544232492,NA
70235,3,31,681.821428571429,379.037382459286,NA
70235,3,32,547.535714285714,388.401613657904,9.98557028619529e-05
70235,3,33,575.366666666667,341.508164524337,NA
70235,3,34,630.46875,365.773857897154,0.000216588425925926
70235,3,35,525.40625,330.525374495641,0.000342733333333333
70235,3,36,609.941176470588,459.850762430231,NA
70235,3,37,558.862068965517,403.214027191686,0.00147486404320988
70235,3,38,474.969696969697,340.560887071652,0.000649765277777778
70235,3,39,533.566666666667,320.984550421349,NA
70235,3,40,505,349.627359230625,NA
70235,3,41,635.041666666667,417.835569818795,NA
70235,3,42,552.53125,407.982446204846,NA
70235,3,43,547.04347826087,319.448740839145,NA
70235,3,44,579.631578947368,277.001646711173,NA
70235,3,45,669.111111111111,420.081890673467,NA
70235,3,46,695.04347826087,418.00081320722,NA
70235,3,47,602.105263157895,254.243298772574,NA
70235,3,48,684.458333333333,357.766498925798,NA
70236,1,1,682,266.978463550901,0.000745091549735847
70236,1,2,487,173.948268171891,0.000168770202020202
70236,1,3,NA,NA,0.000253155303030303
70236,1,4,845,NA,NA
70236,1,5,NA,NA,NA
70236,1,6,NA,NA,NA
70236,1,7,NA,NA,NA
70236,1,10,NA,NA,NA
70236,1,11,1238.75,103.099870675638,0.00206470486853832
70236,1,12,1767,NA,0.00319587760175282
70236,1,13,871,445.006460627259,0.00859063687473873
70236,1,14,564.375,330.640431946995,0.0191477305603024
70236,1,15,708.073170731707,396.886847240111,0.030732474200335
70236,1,16,548.28,272.807178671482,0.0438440210532365
70236,1,17,485.828571428571,202.983255640443,0.0601408586702321
70236,1,18,425.128571428571,209.864270935576,0.0379763731222175
70236,1,19,460.824324324324,187.224965999123,0.0343532037722799
70236,1,20,521.528571428571,297.560015694244,0.0222310726731537
70236,1,21,518.215384615385,272.062176504959,0.0179218289072656
70236,1,22,644.877192982456,339.438458033235,0.0155547288827346
70236,1,23,682,359.831263874526,0.0144221621522148
70236,1,24,564.508196721311,218.676292187853,0.0112777611474365
70236,1,25,601.396825396825,301.127105286366,0.0133699565289959
70236,1,26,598.032786885246,311.17497581549,0.0122371896929383
70236,1,27,608.015873015873,336.031320163881,0.0143670971782184
70236,1,28,627.967741935484,339.092374267869,0.0123576903046068
70236,1,29,605.847457627119,292.097752506395,0.0149677487853967
70236,1,30,540.617647058824,218.273690267604,0.012864653238838
70236,1,31,553.913043478261,283.690683830244,0.0144063929164659
70236,1,32,551.116883116883,330.526851127821,0.0137031329105819
70236,1,33,536,298.258825976244,0.0125349636534227
70236,1,34,569.125,314.896805699005,0.0146243743829325
70236,1,35,515.260869565217,283.169542447314,0.0162789275544362
70236,1,36,552,258.600905975653,0.0172869024633376
70236,1,37,546.676923076923,209.443914605759,0.0159042756390183
70236,1,38,601.833333333333,294.700921839979,0.0170889737396519
70236,1,39,606.253731343284,323.763210484358,0.0125581702942532
70236,1,40,632.327586206897,338.953776692962,0.00953999840974028
70236,1,41,545.442857142857,270.635946481524,0.0064842419855535
70236,1,42,652.719298245614,289.706486587593,0.00553449359342843
70236,1,43,628.741935483871,261.424278945973,0.00674446041853656
70236,1,44,663.109090909091,357.652359283439,0.0040905950121057
70236,1,45,741.697674418605,372.545397354069,0.00385579850741141
70236,1,46,712.217391304348,361.930497504914,0.0027289132562261
